N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
500.000000,0.000738,0.000629,0.000124,0.000112,0.000675,0.000120,0.000069,0.000065,0.000072,0.000196,0.000531,0.000174,0.000150,0.000011,0.000006,0.000010,0.000163,0.000007,0.000004,0.000181,0.000001,0.000092
1000.000000,0.002796,0.003599,0.000459,0.000419,0.003060,0.000262,0.000134,0.000136,0.000137,0.000528,0.001956,0.000438,0.000663,0.000023,0.000012,0.000026,0.001094,0.000020,0.000009,0.000979,0.000006,0.000605
1500.000000,0.007612,0.005047,0.000367,0.000365,0.005362,0.000441,0.000198,0.000183,0.000224,0.000908,0.003784,0.000619,0.001605,0.000029,0.000013,0.000024,0.001571,0.000028,0.000009,0.001227,0.000006,0.001015
2000.000000,0.008979,0.006578,0.000494,0.000474,0.008202,0.000498,0.000211,0.000193,0.000217,0.001390,0.006536,0.000836,0.002217,0.000035,0.000015,0.000028,0.002366,0.000022,0.000010,0.002077,0.000006,0.001451
2500.000000,0.012748,0.010915,0.000655,0.000592,0.013288,0.000667,0.000257,0.000234,0.000278,0.002079,0.010637,0.001185,0.003451,0.000049,0.000020,0.000038,0.003703,0.000035,0.000013,0.003323,0.000009,0.002354
3000.000000,0.018268,0.015116,0.000803,0.000712,0.019547,0.000777,0.000374,0.000298,0.000337,0.002933,0.016766,0.001446,0.004970,0.000054,0.000026,0.000046,0.005678,0.000047,0.000017,0.004879,0.000011,0.003434
3500.000000,0.026643,0.022695,0.000960,0.000847,0.030779,0.001069,0.000353,0.000330,0.000413,0.003860,0.025148,0.001586,0.006686,0.000054,0.000033,0.000050,0.007320,0.000048,0.000018,0.006529,0.000012,0.004736
4000.000000,0.032125,0.027545,0.001093,0.001007,0.039193,0.001158,0.000396,0.000361,0.000418,0.005678,0.033116,0.001875,0.008650,0.000067,0.000030,0.000056,0.009474,0.000052,0.000020,0.008548,0.000015,0.006380
4500.000000,0.042095,0.036119,0.001299,0.001118,0.047136,0.001547,0.000468,0.000421,0.000467,0.006259,0.039049,0.002480,0.010993,0.000079,0.000031,0.000065,0.012026,0.000058,0.000022,0.011506,0.000020,0.008047
5000.000000,0.053064,0.044862,0.001377,0.001260,0.060535,0.001483,0.000507,0.000482,0.000520,0.007850,0.053109,0.002529,0.013694,0.000084,0.000035,0.000071,0.014941,0.000057,0.000027,0.013339,0.000020,0.010143
5500.000000,0.063391,0.054075,0.001591,0.001557,0.065307,0.001819,0.000511,0.000540,0.000580,0.009324,0.057382,0.002912,0.016474,0.000098,0.000037,0.000076,0.018299,0.000073,0.000027,0.016589,0.000021,0.013100
6000.000000,0.074968,0.064657,0.001768,0.001620,0.080150,0.001861,0.000709,0.000641,0.000598,0.012305,0.073067,0.003317,0.019734,0.000113,0.000047,0.000090,0.021508,0.000082,0.000031,0.020049,0.000025,0.016033
6500.000000,0.087130,0.075315,0.001931,0.001730,0.092183,0.002069,0.000592,0.000617,0.000689,0.012562,0.086486,0.003486,0.022773,0.000105,0.000045,0.000100,0.025181,0.000102,0.000034,0.027600,0.000023,0.020953
7000.000000,0.101060,0.087783,0.002124,0.001944,0.107974,0.002249,0.000631,0.000618,0.000745,0.014508,0.103308,0.003976,0.026944,0.000120,0.000047,0.000098,0.029098,0.000096,0.000034,0.033398,0.000024,0.026598
7500.000000,0.116036,0.102363,0.002583,0.002743,0.127235,0.002611,0.000679,0.000703,0.000730,0.018651,0.117992,0.004409,0.030486,0.000122,0.000049,0.000114,0.033333,0.000090,0.000040,0.041848,0.000024,0.035935
8000.000000,0.130291,0.112142,0.002345,0.002152,0.140273,0.002463,0.000702,0.000686,0.000831,0.018546,0.135510,0.004212,0.034576,0.000159,0.000059,0.000120,0.037927,0.000126,0.000042,0.055931,0.000027,0.043099
8500.000000,0.149477,0.131575,0.002522,0.002274,0.159394,0.002820,0.000772,0.000726,0.000816,0.021369,0.155062,0.005042,0.039039,0.000172,0.000056,0.000122,0.043014,0.000113,0.000044,0.067667,0.000030,0.050554
9000.000000,0.165810,0.144959,0.002845,0.002494,0.178229,0.003067,0.000799,0.000798,0.000926,0.023920,0.177701,0.005794,0.044256,0.000155,0.000062,0.000135,0.048283,0.000147,0.000048,0.072937,0.000027,0.067812
9500.000000,0.184404,0.163433,0.002913,0.002550,0.206746,0.003146,0.000833,0.000844,0.000963,0.026803,0.198101,0.005649,0.048534,0.000170,0.000065,0.000142,0.053299,0.000171,0.000050,0.088639,0.000025,0.069187
9999.000000,0.205089,0.181822,0.003129,0.002888,0.216079,0.003219,0.000862,0.000928,0.000971,0.029323,0.215769,0.005920,0.053884,0.000185,0.000074,0.000152,0.059420,0.000144,0.000053,0.099574,0.000028,0.080575
